title,slug,short_description,long_description,developer,publisher,release_date,release_type,price_type,featured,trending,new_arrival,official_badge,thumbnail,banner_image,screenshot_1,screenshot_2,screenshot_3,trailer_url,store_url,categories,platforms,tags
Valheim,valheim,A Viking survival sandbox with exploration crafting and boss battles.,Build longhouses. Sail dangerous seas. Gather resources and challenge mythic creatures in a huge procedurally generated world.,Iron Gate,Coffee Stain Publishing,2021-02-02,early access,paid,false,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/892970/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/892970/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/892970/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/892970/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/892970/capsule_616x353.jpg,https://www.youtube.com/watch?v=5mHRJ1KFe20,https://store.steampowered.com/app/892970/Valheim/,Survival; Adventure; Indie,PC; Xbox,Survival; Crafting; Open World
RimWorld,rimworld,A colony sim and story generator full of hard choices and emergent chaos.,Manage colonists on a distant world. Build a base. Survive raids weather and disasters. Every colony becomes a different story.,Ludeon Studios,Ludeon Studios,2018-10-17,full release,paid,false,false,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294100/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294100/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294100/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294100/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/294100/capsule_616x353.jpg,https://www.youtube.com/watch?v=3tDrxOASUog,https://store.steampowered.com/app/294100/RimWorld/,Simulation; Strategy; Indie,PC; PlayStation; Xbox,Colony Sim; Management; Story Generator
Factorio,factorio,Build automated factories and optimize everything.,Mine resources. Design production lines. Defend your base. Factorio turns logistics and automation into a deeply satisfying strategy game.,Wube Software,Wube Software,2020-08-14,full release,paid,false,false,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/427520/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/427520/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/427520/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/427520/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/427520/capsule_616x353.jpg,https://www.youtube.com/watch?v=BqaAjgpsoW8,https://store.steampowered.com/app/427520/Factorio/,Strategy; Simulation; Indie,PC; Nintendo Switch,Automation; Base Building; Optimization
Baldur's Gate 3,baldurs-gate-3,A massive party based RPG set in the world of Dungeons and Dragons.,Create a hero. Gather companions. Make difficult choices and shape a cinematic fantasy adventure with tactical combat and deep roleplaying.,Larian Studios,Larian Studios,2023-08-03,full release,paid,true,true,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1086940/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1086940/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1086940/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1086940/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1086940/capsule_616x353.jpg,https://www.youtube.com/watch?v=XuCfkgaaa08,https://store.steampowered.com/app/1086940/Baldurs_Gate_3/,RPG; Adventure; Strategy,PC; PlayStation; Xbox; Mac,Party Based; Story Rich; Turn Based
Divinity: Original Sin 2,divinity-original-sin-2,A rich tactical RPG with reactive quests and deep co-op.,Choose your origin. Explore Rivellon. Build creative combat combos and solve quests in multiple ways in one of the best modern CRPGs.,Larian Studios,Larian Studios,2017-09-14,full release,paid,false,false,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/435150/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/435150/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/435150/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/435150/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/435150/capsule_616x353.jpg,https://www.youtube.com/watch?v=FV4wuaR53qU,https://store.steampowered.com/app/435150/Divinity_Original_Sin_2_Definitive_Edition/,RPG; Adventure; Strategy,PC; Nintendo Switch; PlayStation; Xbox; Mac,CRPG; Co-op; Turn Based
Darkest Dungeon,darkest-dungeon,A grim turn based dungeon crawler about stress and survival.,Recruit a roster of flawed heroes. Venture into cursed ruins. Manage stress disease and death in a brutally atmospheric gothic campaign.,Red Hook Studios,Red Hook Studios,2016-01-19,full release,paid,false,false,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/262060/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/262060/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/262060/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/262060/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/262060/capsule_616x353.jpg,https://www.youtube.com/watch?v=h-mXN3akTPU,https://store.steampowered.com/app/262060/Darkest_Dungeon/,RPG; Strategy; Indie,PC; Nintendo Switch; PlayStation; Xbox; iOS,Turn Based; Gothic; Difficulty
Vampire Survivors,vampire-survivors,Survive waves of monsters in a wildly addictive action roguelite.,Move through huge enemy swarms. Choose upgrades every level. Break the screen with absurd builds in short highly replayable runs.,poncle,poncle,2022-10-20,full release,paid,false,true,true,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1794680/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1794680/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1794680/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1794680/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1794680/capsule_616x353.jpg,https://www.youtube.com/watch?v=aS7JqyHdQQA,https://store.steampowered.com/app/1794680/Vampire_Survivors/,Action; Roguelike; Indie,PC; Nintendo Switch; PlayStation; Xbox; iOS; Android,Bullet Heaven; Arcade; Replayable
Enter the Gungeon,enter-the-gungeon,A fast top down bullet hell dungeon crawler packed with guns and secrets.,Dodge roll through dangerous rooms. Collect bizarre weapons. Fight inventive bosses and search the Gungeon for the gun that can kill the past.,Dodge Roll,Devolver Digital,2016-04-05,full release,paid,false,false,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/311690/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/311690/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/311690/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/311690/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/311690/capsule_616x353.jpg,https://www.youtube.com/watch?v=vYpSoiNdrZw,https://store.steampowered.com/app/311690/Enter_the_Gungeon/,Action; Roguelike; Indie,PC; Nintendo Switch; PlayStation; Xbox,Bullet Hell; Co-op; Twin Stick Shooter
Spiritfarer,spiritfarer,A cozy management game about guiding spirits to the afterlife.,Build a ferry. Care for your spirit friends. Farm cook fish and craft your way across a beautiful emotional journey.,Thunder Lotus Games,Thunder Lotus Games,2020-08-18,full release,paid,false,false,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/972660/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/972660/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/972660/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/972660/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/972660/capsule_616x353.jpg,https://www.youtube.com/watch?v=llzgZOlKdfU,https://store.steampowered.com/app/972660/Spiritfarer_Farewell_Edition/,Simulation; Adventure; Cozy,PC; Nintendo Switch; PlayStation; Xbox,Cozy; Management; Emotional
A Short Hike,a-short-hike,A relaxing exploration game about hiking to a mountain summit.,Wander through a peaceful park. Meet other hikers. Glide fish and discover secrets in a short warm adventure.,adamgryu,adamgryu,2019-07-30,full release,paid,false,false,false,true,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1055540/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1055540/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1055540/header.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1055540/capsule_616x353.jpg,https://shared.cloudflare.steamstatic.com/store_item_assets/steam/apps/1055540/capsule_616x353.jpg,https://www.youtube.com/watch?v=usBVx4J4CUM,https://store.steampowered.com/app/1055540/A_Short_Hike/,Adventure; Indie; Cozy,PC; Nintendo Switch; PlayStation; Xbox,Exploration; Relaxing; Short
